,filename,VP,Session,violation_count,AI,total_misses,mean_RT
0,4286random_1_data.csv,4286random,1,4,0.39999999990686774,0,0.4772727272727273
1,3925random_1_data.csv,3925random,1,7,0.2500000004656613,0,0.4572727272727272
2,2684random_1_data.csv,2684random,1,4,0.16666666651144624,0,0.6345454545454545
3,6950random_1_data.csv,6950random,1,8,0.19999999972060323,0,0.49090909090909096
4,9523random_1_data.csv,9523random,1,6,0.2500000004656613,0,0.6427272727272727
5,2487random_1_data.csv,2487random,1,2,0.7500000004656613,0,0.43363636363636365
6,4085random_1_data.csv,4085random,1,7,0.10000000009313226,0,0.42545454545454553
7,8881random_1_data.csv,8881random,1,2,0.7500000004656613,0,0.3563636363636364
8,9720random_1_data.csv,9720random,1,9,0.10000000009313226,0,0.4990909090909091
9,9125random_1_data.csv,9125random,1,7,0.33333333348855376,0,0.5463636363636364
10,4680random_1_data.csv,4680random,1,9,0.16666666651144624,0,0.4918181818181818
11,5921random_1_data.csv,5921random,1,4,0.3750000004656613,0,0.5654545454545455
12,9318random_1_data.csv,9318random,1,3,0.7500000004656613,0,0.45363636363636367
13,2282random_1_data.csv,2282random,1,7,0.33333333348855376,0,0.45
14,9326random_1_data.csv,9326random,1,4,0.33333333348855376,0,0.440909090909091
15,2081random_1_data.csv,2081random,1,7,0.16666666651144624,0,0.6263636363636365
16,4483random_1_data.csv,4483random,1,7,0.16666666651144624,0,0.45454545454545453
17,2264random_1_data.csv,2264random,1,5,0.33333333348855376,0,0.49999999999999994
18,316random_1_data.csv,316random,1,1,0.8750000004656613,0,0.4236363636363636
19,4666random_1_data.csv,4666random,1,3,0.33333333348855376,0,0.4609090909090909
20,1613random_1_data.csv,1613random,1,0,0.9999999995343387,0,0.48727272727272725
21,2059random_1_data.csv,2059random,1,4,0.1250000004656613,0,0.38181818181818183
22,7211random_1_data.csv,7211random,1,4,0.1250000004656613,0,0.36090909090909085
23,4465random_1_data.csv,4465random,1,6,0.16666666651144624,0,0.3381818181818182
24,115random_1_data.csv,115random,1,5,0.22222222248092294,0,0.4454545454545455
25,2067random_1_data.csv,2067random,1,6,0.10000000009313226,0,0.6145454545454546
26,4658random_1_data.csv,4658random,1,7,0.5000000004656613,0,0.4
27,328random_1_data.csv,328random,1,8,0.19999999972060323,0,0.3245454545454545
28,7012random_1_data.csv,7012random,1,8,0.3000000002793968,0,0.5918181818181818
29,1410random_1_data.csv,1410random,1,5,0.1250000004656613,0,0.4627272727272727
30,1215random_1_data.csv,1215random,1,9,0.33333333348855376,0,0.4854545454545454
31,7617random_1_data.csv,7617random,1,2,0.6000000000931323,0,0.46727272727272723
32,8859random_1_data.csv,8859random,1,7,0.10000000009313226,0,0.6327272727272728
33,2662random_1_data.csv,2662random,1,8,0.19999999972060323,0,0.4854545454545455
34,1028random_1_data.csv,1028random,1,5,0.33333333348855376,0,0.5890909090909091
35,710random_1_data.csv,710random,1,5,0.10000000009313226,0,0.3690909090909091
36,4260random_1_data.csv,4260random,1,5,0.33333333348855376,0,0.4636363636363637
37,7414random_1_data.csv,7414random,1,4,0.6666666665114462,0,0.5518181818181819
38,1016random_1_data.csv,1016random,1,5,0.2500000004656613,0,0.5163636363636364
